iter	Passed	Remaining
0	164	164595
1	179	89678
2	192	63993
3	205	51229
4	218	43384
5	232	38471
6	246	34938
7	258	32026
8	270	29813
9	281	27891
10	293	26413
11	305	25132
12	315	23943
13	329	23236
14	341	22425
15	353	21717
16	363	21044
17	376	20518
18	387	20031
19	399	19557
20	411	19160
21	428	19031
22	444	18877
23	459	18671
24	474	18493
25	486	18215
26	500	18040
27	513	17814
28	524	17560
29	538	17425
30	551	17238
31	564	17066
32	575	16860
33	587	16699
34	598	16493
35	609	16324
36	621	16171
37	632	16022
38	644	15875
39	656	15753
40	668	15637
41	679	15503
42	691	15381
43	705	15327
44	717	15236
45	729	15122
46	739	15004
47	751	14911
48	762	14792
49	772	14671
50	782	14566
51	795	14497
52	805	14393
53	816	14296
54	828	14230
55	838	14130
56	848	14042
57	859	13959
58	871	13893
59	881	13803
60	892	13739
61	901	13645
62	911	13557
63	921	13479
64	931	13400
65	941	13320
66	951	13253
67	964	13212
68	974	13144
69	984	13079
70	995	13023
71	1008	13001
72	1019	12951
73	1030	12896
74	1042	12854
75	1054	12817
76	1065	12767
77	1075	12716
78	1087	12673
79	1096	12614
80	1107	12565
81	1121	12558
82	1132	12512
83	1144	12479
84	1155	12438
85	1165	12388
86	1179	12376
87	1209	12529
88	1218	12474
89	1231	12449
90	1246	12446
91	1261	12446
92	1273	12415
93	1283	12375
94	1296	12353
95	1310	12339
96	1321	12299
97	1333	12273
98	1345	12247
99	1356	12206
100	1365	12152
101	1377	12123
102	1387	12081
103	1397	12036
104	1408	12001
105	1418	11964
106	1429	11928
107	1438	11883
108	1449	11848
109	1460	11814
110	1470	11779
111	1482	11754
112	1493	11724
113	1504	11693
114	1514	11652
115	1528	11645
116	1540	11623
117	1550	11585
118	1560	11555
119	1571	11522
120	1582	11496
121	1594	11472
122	1604	11439
123	1616	11420
124	1629	11404
125	1641	11387
126	1652	11361
127	1663	11335
128	1675	11311
129	1686	11283
130	1696	11251
131	1708	11231
132	1718	11201
133	1730	11184
134	1742	11162
135	1752	11133
136	1763	11108
137	1772	11074
138	1783	11046
139	1794	11025
140	1808	11018
141	1819	10995
142	1831	10973
143	1841	10945
144	1852	10925
145	1864	10903
146	1878	10898
147	1888	10873
148	1901	10859
149	1912	10837
150	1923	10816
151	1934	10793
152	1946	10776
153	1959	10762
154	1969	10736
155	1981	10720
156	1992	10701
157	2005	10686
158	2015	10660
159	2025	10634
160	2035	10608
161	2045	10581
162	2060	10581
163	2072	10565
164	2084	10549
165	2094	10524
166	2103	10492
167	2114	10470
168	2125	10452
169	2136	10433
170	2147	10411
171	2157	10384
172	2167	10361
173	2177	10337
174	2187	10311
175	2197	10286
176	2208	10268
177	2219	10250
178	2232	10241
179	2243	10219
180	2255	10205
181	2265	10183
182	2278	10173
183	2290	10157
184	2300	10134
185	2311	10117
186	2322	10095
187	2331	10070
188	2342	10052
189	2353	10034
190	2365	10018
191	2377	10003
192	2389	9989
193	2398	9966
194	2411	9954
195	2422	9936
196	2433	9917
197	2443	9899
198	2455	9881
199	2466	9865
200	2477	9849
201	2489	9835
202	2501	9819
203	2510	9795
204	2522	9782
205	2532	9762
206	2544	9747
207	2555	9728
208	2565	9709
209	2577	9695
210	2589	9684
211	2601	9667
212	2612	9651
213	2623	9635
214	2634	9618
215	2646	9604
216	2658	9593
217	2669	9576
218	2680	9559
219	2692	9545
220	2704	9533
221	2721	9535
222	2732	9519
223	2743	9503
224	2755	9490
225	2767	9476
226	2778	9460
227	2789	9445
228	2803	9437
229	2815	9424
230	2827	9412
231	2839	9398
232	2851	9385
233	2862	9369
234	2875	9360
235	2890	9358
236	2902	9343
